CowTagID,lat,lon,Location,dist_to_seep_m,alphabetical
VSEEP,-17.540302,-149.899331,Varari,0,SEEP
V14,-17.54039696,-149.899396,Varari,12.62318456,A
V20,-17.54045103,-149.899509,Varari,25.1434552,B
V17,-17.54031901,-149.899572,Varari,25.65062044,C
V9,-17.540245,-149.899765,Varari,46.50132203,D
V10,-17.54030501,-149.899788,Varari,48.50883373,E
V19,-17.54050802,-149.89978,Varari,52.88953478,F
V18,-17.54019697,-149.899906,Varari,62.14245647,G
V8,-17.54014903,-149.899896,Varari,62.34195113,H
V7,-17.54004803,-149.899985,Varari,74.95438052,I
V11,-17.54019303,-149.900068,Varari,79.16286546,J
V12,-17.54030996,-149.900112,Varari,82.90297375,K
V6,-17.54002498,-149.900106,Varari,87.85163569,L
V15,-17.54014299,-149.900183,Varari,92.15051842,M
V5,-17.54025003,-149.900336,Varari,106.8312081,N
V4,-17.54024902,-149.900454,Varari,119.3452203,O
V16,-17.54029797,-149.900492,Varari,123.2336688,P
V3,-17.54012598,-149.90056,Varari,131.9140796,Q
V1,-17.53975298,-149.900506,Varari,138.8887466,R
